pid,ptime,src_ip_address,dst_ip_address,frame_protos,src_port,dst_port,bytes_trans,attack,protocol,Date
10.42.0.151-10.42.0.1-40150-53-17,32:00.9,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,80,8630,48,0,TCP,08/25/19 23:13
183.79.248.124-10.42.0.211-443-40398-6,32:01.1,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp:http:data-text-lines,80,8630,1007,1,TCP,08-07-19 13:40
10.42.0.151-91.190.219.146-54317-443-6,32:01.1,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,80,8630,1007,0,TCP,08/20/19 21:07
169.45.214.248-10.42.0.151-5222-56112-6,32:06.9,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,5358,7292,48,1,TCP,08-09-19 8:55
10.42.0.211-10.42.0.1-49857-53-17,32:07.1,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp:vssmonitoring,5358,7292,40,0,TCP,08-06-19 10:36
10.42.0.151-10.42.0.1-41614-53-17,32:07.1,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,5358,7292,40,1,TCP,08/23/19 11:10
10.42.0.151-10.42.0.1-9903-53-17,32:14.1,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,48,0,TCP,08-08-19 6:09
10.42.0.42-13.66.26.172-53130-443-6,32:14.1,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,48,1,TCP,08-11-19 8:52
172.217.10.100-10.42.0.151-443-41030-6,32:14.2,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,167,0,TCP,08-11-19 22:21
172.217.10.74-10.42.0.151-443-57211-6,32:14.3,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:smtp,25,55442,93,1,TCP,08/14/19 14:19
172.217.12.170-10.42.0.42-443-52998-6,32:14.3,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,93,0,TCP,08/14/19 14:06
206.126.112.142-10.42.0.151-443-39311-6,32:14.4,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,108,1,TCP,08/27/19 14:00
172.217.10.42-10.42.0.42-443-56914-6,32:14.4,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,100,0,TCP,08-04-19 9:00
203.205.158.23-10.42.0.151-80-48808-6,32:14.5,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,86,1,TCP,08-04-19 2:46
10.42.0.1-10.42.0.42-53-41717-17,32:14.6,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:smtp,25,55442,134,1,TCP,08/28/19 17:28
10.42.0.151-104.244.43.131-48232-443-6,32:14.6,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,134,0,TCP,08/30/19 07:14
10.42.0.211-119.146.74.31-58603-443-6,32:14.7,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,25,55442,88,1,TCP,08-05-19 20:00
10.42.0.211-98.139.225.43-50554-443-6,32:14.7,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:vssmonitoring,25,55442,40,0,TCP,08/30/19 09:07
192.229.173.173-10.42.0.211-443-43640-6,32:31.3,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,80,37168,48,1,UDP,08/23/19 11:20
10.42.0.211-98.139.180.180-37794-443-6,32:31.4,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp:vssmonitoring,80,37168,40,0,UDP,08/17/19 20:12
10.42.0.211-23.21.95.195-47277-443-6,32:31.4,149.171.126.16,175.45.176.3,sll:ethertype:ip:tcp,80,37168,40,1,UDP,08/17/19 20:12
10.42.0.211-10.42.0.1-5070-53-17,32:50.3,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,80,45026,48,0,UDP,08-11-19 12:26
203.205.158.60-10.42.0.42-80-33363-6,32:50.5,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp,80,45026,550,1,UDP,08-10-19 13:48
10.42.0.211-104.244.42.129-53464-80-6,32:50.5,149.171.126.16,175.45.176.1,sll:ethertype:ip:tcp:vssmonitoring,80,45026,40,0,UDP,08-05-19 12:09
175.100.207.233-10.42.0.211-80-47336-6,32:57.5,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,48,1,ICMP,08/24/19 16:49
10.42.0.151-10.42.0.1-20557-53-17,32:57.6,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,ICMP,08-02-19 12:24
10.42.0.211-23.206.166.62-42171-80-6,32:57.6,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,UDP,08-07-19 12:42
198.11.188.78-10.42.0.42-443-45000-6,32:57.6,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp:http:data-text-lines,80,47285,1188,0,UDP,08-01-19 18:56
172.217.10.65-10.42.0.211-443-40213-6,32:57.6,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1,TCP,08/21/19 01:08
10.42.0.151-91.190.216.60-36975-12350-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/24/19 20:15
8.0.6.4-8.6.0.1-0-0-0,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/29/19 09:25
172.217.7.164-10.42.0.42-443-38539-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/19/19 08:10
10.42.0.1-10.42.0.42-53-50679-17,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,ICMP,08-10-19 11:21
172.217.6.202-10.42.0.42-443-33738-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,UDP,08-09-19 9:28
10.42.0.211-10.42.0.1-14200-53-17,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-09-19 9:28
180.149.136.194-10.42.0.211-80-48637-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-02-19 10:17
10.42.0.151-125.88.193.226-57182-80-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-02-19 10:17
10.42.0.211-104.192.108.27-53833-80-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/29/19 12:40
10.42.0.211-10.42.0.1-31723-53-17,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-09-19 13:35
10.42.0.211-111.202.114.77-49801-443-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-08-19 10:21
203.130.53.126-10.42.0.211-80-52064-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/14/19 16:52
172.217.10.10-10.42.0.151-443-39296-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/18/19 22:08
10.42.0.1-10.42.0.42-53-24839-17,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-03-19 17:36
172.217.10.131-10.42.0.151-443-48358-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,UDP,08/24/19 08:51
140.205.140.87-10.42.0.211-80-39636-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,1,TCP,08/30/19 15:07
203.205.151.47-10.42.0.151-80-60295-6,32:57.7,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,0,TCP,08/31/19 12:46
10.42.0.151-104.244.43.227-49848-443-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-12-19 7:30
10.42.0.151-10.42.0.1-46697-53-17,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-08-19 12:39
10.42.0.211-52.84.29.154-57116-443-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-11-19 1:47
10.42.0.151-10.42.0.1-32711-53-17,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/27/19 12:55
10.42.0.211-66.231.239.124-55348-80-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-09-19 20:21
10.42.0.42-123.59.190.237-58925-80-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/17/19 21:01
216.58.219.226-10.42.0.211-443-44879-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,UDP,08/13/19 09:52
172.217.9.234-10.42.0.211-443-46345-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-02-19 15:19
202.77.129.161-10.42.0.42-80-54595-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1,TCP,08/19/19 16:40
10.42.0.211-54.192.38.154-53349-443-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/30/19 20:13
216.58.217.163-10.42.0.151-443-48940-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/25/19 08:37
152.163.56.2-10.42.0.211-443-48457-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-03-19 9:18
10.42.0.151-10.42.0.1-55810-53-17,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/27/19 21:41
10.42.0.211-115.239.210.141-51785-80-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/18/19 19:28
10.42.0.151-98.139.183.24-55392-443-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/13/19 10:29
8.0.6.4-8.6.0.1-0-0-0,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/19/19 13:59
172.217.9.227-10.42.0.151-443-57870-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/31/19 18:36
10.42.0.211-10.42.0.1-47002-53-17,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-07-19 19:28
172.217.10.110-10.42.0.151-443-38067-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,0,TCP,08/18/19 13:55
206.126.112.142-10.42.0.151-443-33251-6,32:57.8,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,0,TCP,08/27/19 12:09
152.163.56.2-10.42.0.211-443-36198-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/29/19 17:02
10.42.0.42-106.39.169.66-43528-443-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/19/19 21:43
180.149.136.194-10.42.0.151-80-54144-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/16/19 14:25
10.42.0.211-119.146.74.34-43439-80-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-06-19 10:23
172.217.3.99-10.42.0.211-443-43528-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/22/19 15:48
216.58.218.227-10.42.0.42-443-50608-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/24/19 10:48
10.42.0.151-106.11.176.1-47627-443-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/19/19 17:13
10.42.0.42-52.179.189.71-47940-443-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-09-19 13:51
198.11.136.24-10.42.0.211-443-52636-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1,UDP,08/27/19 10:21
10.42.0.211-10.42.0.1-39313-53-17,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1,TCP,08/25/19 13:18
10.42.0.211-66.231.239.124-34031-443-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/13/19 08:46
10.42.0.151-104.254.66.16-50163-80-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-07-19 18:04
202.77.129.230-10.42.0.151-80-58523-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/18/19 05:31
203.205.158.61-10.42.0.42-80-54023-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/20/19 20:16
10.42.0.211-121.12.98.63-47417-80-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/13/19 15:57
172.217.10.72-10.42.0.211-443-34855-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-06-19 8:25
10.42.0.211-10.42.0.1-61032-53-17,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/25/19 02:53
172.217.10.234-10.42.0.151-443-46171-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/29/19 13:25
172.217.11.10-10.42.0.211-443-49984-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/29/19 22:52
203.205.158.61-10.42.0.211-80-36236-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/29/19 09:31
205.204.101.182-10.42.0.42-443-47869-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,0,TCP,08/18/19 18:50
172.217.10.106-10.42.0.151-443-41606-6,32:57.9,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,0,TCP,08/19/19 06:52
203.205.179.170-10.42.0.211-80-57794-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/15/19 16:45
10.42.0.211-98.139.199.204-37890-443-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-04-19 10:06
10.42.0.211-69.147.82.61-41637-443-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/29/19 13:17
10.42.0.211-23.205.20.233-46359-80-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/22/19 19:17
10.42.0.42-104.192.110.245-43650-443-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-06-19 8:41
10.42.0.211-119.146.74.34-59087-80-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/27/19 14:06
10.42.0.211-52.0.244.7-44682-443-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/21/19 12:09
183.79.250.123-10.42.0.211-443-35953-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/21/19 12:07
10.42.0.211-54.243.211.28-39454-443-6,32:58.0,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,0,TCP,08/21/19 21:28
151.101.21.140-10.42.0.211-443-33380-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-06-19 17:53
203.205.147.229-10.42.0.151-80-36648-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/22/19 14:38
172.217.10.3-10.42.0.151-443-60003-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-12-19 12:01
172.217.12.131-10.42.0.211-443-37454-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-05-19 17:14
10.42.0.211-64.71.142.124-40223-80-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/13/19 18:02
202.77.129.150-10.42.0.211-443-43404-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/15/19 16:14
172.217.3.106-10.42.0.151-443-43050-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,363,1,TCP,08/16/19 18:45
183.79.250.123-10.42.0.211-443-36972-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,363,0,TCP,08/19/19 08:59
202.77.129.150-10.42.0.42-80-40130-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-01-19 12:38
10.42.0.211-54.230.51.24-50398-80-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-01-19 12:38
10.42.0.211-95.213.11.133-37968-443-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/21/19 15:02
222.73.28.96-10.42.0.42-80-43351-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/24/19 00:22
10.42.0.211-66.102.255.61-51792-80-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,353,1,TCP,08-01-19 18:43
10.42.0.1-10.42.0.42-53-29805-17,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/25/19 12:36
172.217.11.14-10.42.0.151-443-35230-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-06-19 23:10
10.42.0.42-72.21.206.53-45580-443-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/23/19 16:27
209.10.120.26-10.42.0.211-80-43093-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-06-19 2:22
172.217.10.42-10.42.0.42-443-34080-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/27/19 20:49
183.79.17.108-10.42.0.151-443-60437-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/24/19 08:04
172.217.12.195-10.42.0.211-443-49630-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-01-19 20:53
10.42.0.151-119.146.74.34-42472-80-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/23/19 07:47
172.217.6.237-10.42.0.151-443-54754-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,1,TCP,08-04-19 16:44
163.177.93.222-10.42.0.151-80-46812-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1188,0,TCP,08/25/19 19:48
10.42.0.151-74.125.22.188-37263-5228-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-04-19 15:29
202.77.129.230-10.42.0.151-80-47935-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,ICMP,08/14/19 19:24
192.229.173.173-10.42.0.151-80-57987-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,ICMP,08/28/19 17:55
10.42.0.151-119.146.74.31-39177-443-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/13/19 20:45
10.42.0.151-10.42.0.1-13570-53-17,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-04-19 17:09
222.73.28.96-10.42.0.211-80-34338-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/24/19 09:20
10.42.0.42-115.239.210.141-47686-80-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/15/19 15:37
10.42.0.151-10.42.0.1-45805-53-17,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-04-19 23:25
174.35.73.135-10.42.0.211-80-41771-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,UDP,08-07-19 11:48
180.149.134.221-10.42.0.42-80-41726-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,UDP,08/25/19 10:07
10.42.0.211-10.42.0.1-28008-53-17,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,1,TCP,08/22/19 06:22
10.42.0.211-36.110.213.174-55806-443-6,32:58.1,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,676,1,TCP,08/24/19 06:24
172.217.11.42-10.42.0.42-443-59418-6,32:58.2,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08-01-19 12:51
203.205.158.66-10.42.0.151-80-55440-6,32:58.2,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,UDP,08-06-19 12:19
10.42.0.211-10.42.0.1-45516-53-17,32:58.2,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/30/19 21:25
10.42.0.211-119.146.74.33-47669-443-6,32:58.2,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08-11-19 23:19
216.58.219.226-10.42.0.211-443-55294-6,32:58.2,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,0,TCP,08/16/19 08:51
172.217.3.110-10.42.0.151-443-44237-6,32:58.2,149.171.126.16,175.45.176.2,sll:ethertype:ip:tcp,80,47285,1500,1,TCP,08/16/19 08:51
